game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900545,1/6/20,8:30 PM,CHI,DAL,Chicago Bulls,Dallas Mavericks,7,1,chi,dal
game_0021900546,1/6/20,8:30 PM,MIL,SAS,Milwaukee Bucks,San Antonio Spurs,8,2,mil,sas
game_0021900547,1/6/20,10:00 PM,GSW,SAC,Golden State Warriors,Sacramento Kings,9,1,gsw,sac
game_0021900548,1/7/20,7:00 PM,DET,CLE,Detroit Pistons,Cleveland Cavaliers,1,1,det,cle
game_0021900549,1/7/20,7:00 PM,POR,TOR,Portland Trail Blazers,Toronto Raptors,2,2,por,tor
game_0021900550,1/7/20,7:30 PM,OKC,BKN,Oklahoma City Thunder,Brooklyn Nets,3,1,okc,bkn
game_0021900551,1/7/20,8:00 PM,MIN,MEM,Minnesota Timberwolves,Memphis Grizzlies,4,1,min,mem
game_0021900552,1/7/20,9:00 PM,SAC,PHX,Sacramento Kings,Phoenix Suns,5,1,sac,phx
game_0021900553,1/7/20,10:30 PM,NYK,LAL,New York Knicks,Los Angeles Lakers,6,1,nyk,lal
game_0021900556,1/8/20,7:00 PM,MIA,IND,Miami Heat,Indiana Pacers,1,1,mia,ind
game_0021900554,1/8/20,7:00 PM,SAS,BOS,San Antonio Spurs,Boston Celtics,2,2,sas,bos
game_0021900555,1/8/20,7:00 PM,TOR,CHA,Toronto Raptors,Charlotte Hornets,3,3,tor,cha
game_0021900557,1/8/20,7:00 PM,WAS,ORL,Washington Wizards,Orlando Magic,4,4,was,orl
game_0021900559,1/8/20,7:30 PM,DEN,DAL,Denver Nuggets,Dallas Mavericks,5,1,den,dal
game_0021900558,1/8/20,7:30 PM,HOU,ATL,Houston Rockets,Atlanta Hawks,6,2,hou,atl
game_0021900560,1/8/20,8:00 PM,CHI,NOP,Chicago Bulls,New Orleans Pelicans,7,1,chi,no
game_0021900561,1/8/20,9:00 PM,NYK,UTA,New York Knicks,Utah Jazz,8,1,nyk,uth
game_0021900562,1/8/20,10:00 PM,MIL,GSW,Milwaukee Bucks,Golden State Warriors,9,1,mil,gsw
game_0021900564,1/9/20,7:00 PM,BOS,PHI,Boston Celtics,Philadelphia 76ers,1,1,bos,phi
game_0021900563,1/9/20,7:00 PM,CLE,DET,Cleveland Cavaliers,Detroit Pistons,2,2,cle,det
game_0021900565,1/9/20,8:00 PM,POR,MIN,Portland Trail Blazers,Minnesota Timberwolves,3,1,por,min
game_0021900566,1/9/20,9:30 PM,HOU,OKC,Houston Rockets,Oklahoma City Thunder,4,1,hou,okc
game_0021900567,1/10/20,7:00 PM,ATL,WAS,Atlanta Hawks,Washington Wizards,1,1,atl,was
game_0021900568,1/10/20,7:30 PM,MIA,BKN,Miami Heat,Brooklyn Nets,2,1,mia,bkn
game_0021900570,1/10/20,8:00 PM,IND,CHI,Indiana Pacers,Chicago Bulls,3,1,ind,chi
game_0021900569,1/10/20,8:00 PM,NOP,NYK,New Orleans Pelicans,New York Knicks,4,2,no,nyk
game_0021900571,1/10/20,8:00 PM,SAS,MEM,San Antonio Spurs,Memphis Grizzlies,5,3,sas,mem
game_0021900572,1/10/20,8:30 PM,LAL,DAL,Los Angeles Lakers,Dallas Mavericks,6,1,lal,dal
game_0021900574,1/10/20,9:00 PM,CHA,UTA,Charlotte Hornets,Utah Jazz,7,1,cha,uth
game_0021900573,1/10/20,9:00 PM,ORL,PHX,Orlando Magic,Phoenix Suns,8,2,orl,phx
game_0021900575,1/10/20,10:00 PM,MIL,SAC,Milwaukee Bucks,Sacramento Kings,9,1,mil,sac
game_0021900576,1/10/20,10:30 PM,GSW,LAC,Golden State Warriors,LA Clippers,10,1,gsw,lac
game_0021900577,1/11/20,5:00 PM,MIN,HOU,Minnesota Timberwolves,Houston Rockets,1,1,min,hou
game_0021900579,1/11/20,7:00 PM,CHI,DET,Chicago Bulls,Detroit Pistons,2,1,chi,det
game_0021900578,1/11/20,7:00 PM,NOP,BOS,New Orleans Pelicans,Boston Celtics,3,2,no,bos
game_0021900580,1/11/20,8:00 PM,LAL,OKC,Los Angeles Lakers,Oklahoma City Thunder,4,1,lal,okc
game_0021900581,1/11/20,8:30 PM,PHI,DAL,Philadelphia 76ers,Dallas Mavericks,5,1,phi,dal
game_0021900582,1/11/20,9:00 PM,CLE,DEN,Cleveland Cavaliers,Denver Nuggets,6,1,cle,den
game_0021900583,1/11/20,10:00 PM,MIL,POR,Milwaukee Bucks,Portland Trail Blazers,7,1,mil,por
game_0021900584,1/12/20,3:30 PM,MIA,NYK,Miami Heat,New York Knicks,1,1,mia,nyk
game_0021900585,1/12/20,3:30 PM,UTA,WAS,Utah Jazz,Washington Wizards,2,2,uth,was
game_0021900586,1/12/20,6:00 PM,ATL,BKN,Atlanta Hawks,Brooklyn Nets,3,1,atl,bkn
game_0021900588,1/12/20,6:00 PM,GSW,MEM,Golden State Warriors,Memphis Grizzlies,4,2,gsw,mem
game_0021900587,1/12/20,6:00 PM,SAS,TOR,San Antonio Spurs,Toronto Raptors,5,3,sas,tor
game_0021900590,1/12/20,8:00 PM,CHA,PHX,Charlotte Hornets,Phoenix Suns,6,1,cha,phx
game_0021900589,1/12/20,8:00 PM,LAC,DEN,LA Clippers,Denver Nuggets,7,2,lac,den
